name,movement_pattern,exercise_type,target_goals,body_parts,evidence_rationale,equipment_needed,default_sets,default_rep_range,unilateral,is_corrective,demo_video_url,is_complex
Barbell Back Squat,squat,strength,strength_power|aesthetic_physique,hips|knees|lower_back,Foundational bilateral compound for lower-body strength and hypertrophy; high evidence base for quad/glute development.,barbell|squat_rack,4,5-8,false,false,https://www.youtube.com/watch?v=ultWZbUMPL8,true
Front Squat,squat,strength,strength_power|aesthetic_physique,hips|knees,More quad-dominant and torso-upright than the back squat; reduces lower-back shear load while still building bilateral leg strength.,barbell|squat_rack,3,5-8,false,false,https://www.youtube.com/watch?v=0ect9ETE6t0,true
Goblet Squat,squat,strength,aesthetic_physique|total_body_resilience,hips|knees,Easier bar-path and depth cueing than a barbell squat; good entry point for squat-pattern volume without heavy axial load.,dumbbell,3,10-15,false,false,https://www.youtube.com/watch?v=MeIiIdhvXT4,false
Smith Machine Squat,squat,strength,aesthetic_physique|strength_power,hips|knees,Fixed bar path lets lifters push closer to failure safely; useful for hypertrophy accumulation without a spotter.,smith_machine,3,8-12,false,false,https://www.youtube.com/watch?v=iAcRGCsG_PY,false
Bulgarian Split Squat,squat,strength,strength_power|total_body_resilience,hips|knees|ankles,Single-leg squat pattern that corrects left/right strength asymmetry and trains hip stability through a long range of motion.,dumbbell|bench,3,8-12,true,false,https://www.youtube.com/watch?v=2C-uNgKwPLE,true
Cossack Squat,squat,strength,total_body_resilience|mobility_flexibility,ankles|knees|hips,Lateral squat variant building ankle and hip mobility under load through a wide deep stance; complements ATG split squat's sagittal-plane ankle work with a frontal-plane challenge.,bodyweight,3,6-8/side,true,false,https://www.youtube.com/watch?v=JaCbmoDqUc4,true
Leg Press,squat,strength,aesthetic_physique|strength_power,hips|knees,Machine-stabilized bilateral squat pattern; lets lifters load volume safely without balance/bracing demands.,leg_press_machine,3,8-12,false,false,https://www.youtube.com/watch?v=IZxyjW7MPJQ,false
Hack Squat,squat,strength,aesthetic_physique|strength_power,hips|knees,Fixed-path machine squat emphasizing quads with reduced lower-back shear versus a free barbell squat.,hack_squat_machine,3,8-12,false,false,https://www.youtube.com/watch?v=0tn5K9NlCfo,false
Pistol Squat,squat,strength,total_body_resilience|strength_power,hips|knees|ankles,"Advanced unilateral bodyweight squat building single-leg strength, ankle dorsiflexion, and balance simultaneously.",bodyweight,3,3-6,true,false,https://www.youtube.com/watch?v=hHxm3VbuS-w,true
Box Squat,squat,strength,strength_power,hips|lower_back,Teaches hip-hinge depth control and posterior-chain engagement out of the bottom of a squat; common powerlifting accessory.,barbell|squat_rack|box,3,5-8,false,false,https://www.youtube.com/watch?v=WGjf5w8iaTM,true
Walking Lunge,squat,strength,aesthetic_physique|total_body_resilience,hips|knees,Dynamic unilateral lower-body pattern that builds single-leg strength and balance through a long stride.,dumbbell,3,10-12,true,false,https://www.youtube.com/watch?v=L8fvypPrzzs,false
Step-Up,squat,strength,total_body_resilience|strength_power,hips|knees,Unilateral squat-pattern movement that closely mirrors stair/uneven-terrain demand; strong carryover to daily function.,dumbbell|box,3,8-12,true,false,https://www.youtube.com/watch?v=DxUNi119Qzs,false
Wall Sit,squat,strength,total_body_resilience,hips|knees,"Isometric squat hold; low-impact way to build quad endurance without joint loading, useful on lower-readiness days.",bodyweight,3,30-60s hold,false,false,https://www.youtube.com/watch?v=y-wV4Venusw,false
Box Jump,squat,plyometric,strength_power|total_body_resilience,hips|knees|ankles,Explosive triple-extension power development; CLAUDE.md flags plyometrics as part of the program's high-leverage toolkit.,plyo_box,3,3-5 reps,false,false,https://www.youtube.com/watch?v=G-bxQY57mKc,true
Jump Squat,squat,plyometric,strength_power,hips|knees,Loads the squat pattern with explosive intent; builds rate of force development on top of squat strength.,bodyweight,3,6-8 reps,false,false,https://www.youtube.com/watch?v=A-cFYWvaHr0,false
Asian Squat Hold,squat,mobility_stretch,mobility_flexibility|total_body_resilience,hips|ankles,Sustained flat-footed deep-squat hold variant emphasizing ankle dorsiflexion specifically; a common assessment and training tool for ankle/hip mobility ceiling.,bodyweight,1,3 min hold,false,true,https://www.youtube.com/watch?v=oya7G1djWyQ,false
Single-Leg Balance (eyes closed),balance,balance,total_body_resilience,ankles,Proprioceptive ankle/balance work; tracks single-leg stability improvement directly relevant to lateral-movement injury risk.,bodyweight,3,30-45s hold,true,true,https://www.youtube.com/watch?v=4HtOeds_vyw,false
Single-Leg Balance on Pillow,balance,balance,total_body_resilience,ankles|feet,Unstable-surface balance progression beyond the eyes-closed floor variant; builds ankle proprioception under perturbation.,balance_pad,3,30-45s hold,true,true,,false
Bosu Ball Squat,squat,balance,total_body_resilience,hips|ankles|knees,Combines squat-pattern strength with unstable-surface balance demand; bridges strength and stability training.,bosu_ball,3,8-10,false,false,,false
Single-Leg Romanian Deadlift Balance Reach,balance,balance,total_body_resilience,ankles|hips|hamstrings,Unilateral balance-under-load challenge that doubles as posterior-chain activation; strong carryover to pickleball's single-leg landings.,dumbbell,3,8-10,true,false,https://www.youtube.com/watch?v=wTqPn_EUzVY,false
Weighted Ankle Dorsiflexion Mobilization,mobility,mobility_stretch,mobility_flexibility|total_body_resilience,ankles,Loaded knee-to-wall mobilization using a light external load at the knee; progresses the unloaded wall ankle test once baseline dorsiflexion range improves.,light_plate,3,10 reps/side,true,true,,false
Half-Kneeling Ankle Mobilization,mobility,mobility_stretch,mobility_flexibility|total_body_resilience,ankles,Half-kneeling rock-forward drill loading dorsiflexion under bodyweight; a no-equipment complement to the banded ankle distraction for days without a band.,bodyweight,3,8-10 reps/side,true,true,https://www.youtube.com/watch?v=Hm_Iu72bJJg,false
Ankle Circles,mobility,mobility_stretch,mobility_flexibility,ankles,Simple active range-of-motion warmup; loosens the ankle joint capsule before loading.,bodyweight,2,10 reps/side,true,true,,false
Calf Raise Stretch on Step,mobility,mobility_stretch,mobility_flexibility,ankles,Static calf/Achilles stretch off a step edge; addresses posterior ankle tightness that limits dorsiflexion.,step,2,30-45s hold,true,true,https://www.youtube.com/watch?v=yhnBpnrhRpk,false
Seated Ankle Dorsiflexion with Band,mobility,mobility_stretch,mobility_flexibility|total_body_resilience,ankles,"Banded mobilization targeting dorsiflexion specifically; complements the standing banded distraction with a seated, lower-load variant.",resistance_band,3,12-15 reps/side,true,true,,false
Single-Leg Calf Raise,push,strength,total_body_resilience|aesthetic_physique,ankles|feet,Builds calf strength and ankle-stabilizer endurance unilaterally -- directly protective against the lateral-pickleball reinjury pattern CLAUDE.md flags.,bodyweight,3,12-15,true,false,https://www.youtube.com/watch?v=gwLzBJYoWlI,false
Glute-Ham Raise,hinge,strength,total_body_resilience,hamstrings,Machine-assisted hamstring-curl movement sharing the Nordic curl's eccentric-loading evidence base; a regression option when bodyweight Nordic curls are too advanced.,glute_ham_developer,3,6-10,false,true,https://www.youtube.com/watch?v=v1DJzwKUGg0,true
Active Straight-Leg Raise Hamstring Stretch,hinge,mobility_stretch,mobility_flexibility|total_body_resilience,hamstrings,Supine active-assisted hamstring stretch using a strap; complements the PNF contract-relax method with an active end-range hold.,strap,1,3 reps/side hold 15s,true,true,https://www.youtube.com/watch?v=Il1L75v6gq0,false
Deep Lunge Hip Opener,mobility,mobility_stretch,mobility_flexibility,hips,Kneeling deep-lunge hip-opener stretch; complements the 90/90's rotational hip work with an extension-biased anterior-hip target.,yoga_mat,1,60s hold/side,true,true,,false
Half-Kneeling Hip Flexor Stretch with Reach,mobility,mobility_stretch,mobility_flexibility,hips,Active variant of the couch stretch adding an overhead reach to bias the rectus femoris and add a thoracic-extension component.,bodyweight,1,45-60s hold/side,true,true,https://www.youtube.com/watch?v=KyoK4Rf6_bE,false
Standing Hamstring Stretch,hinge,mobility_stretch,mobility_flexibility,hamstrings,Simple static hamstring stretch; low-skill complement to the PNF variant on lower-readiness days.,bodyweight,1,30-60s hold/side,true,true,,false
Pigeon Pose,mobility,mobility_stretch,mobility_flexibility,hips,Deep hip external-rotator stretch; common yoga pose with strong carryover to hip-opening goals CLAUDE.md emphasizes.,yoga_mat,1,60-90s hold/side,true,true,https://www.youtube.com/watch?v=M1gEGLtF1p0,false
Frog Stretch,mobility,mobility_stretch,mobility_flexibility,hips,Adductor/hip-opener stretch complementing the 90/90 and couch stretch from a different angle of hip mobility.,yoga_mat,1,60-90s hold,false,true,,false
World's Greatest Stretch,mobility,mobility_stretch,mobility_flexibility|total_body_resilience,hips|thoracic_spine|hamstrings,Combination lunge-rotation-hamstring stretch; efficient multi-joint mobility movement for a pre-lift warmup or recovery day.,bodyweight,2,5 reps/side,true,false,https://www.youtube.com/watch?v=-CiWQ2IvY34,false
Side-Lying Hip Adduction,core,strength,total_body_resilience,hips|hamstrings,Side-lying adductor-strengthening movement; a lower-skill regression toward the full Copenhagen plank for building the same adductor/groin strength.,bodyweight,3,12-15/side,true,true,,false
Adductor Stretch (seated),mobility,mobility_stretch,mobility_flexibility,hips,Static adductor/groin stretch; complements the Copenhagen plank's strength work with passive range-of-motion.,yoga_mat,1,45-60s hold,false,true,,false
Romanian Deadlift,hinge,strength,strength_power|aesthetic_physique,hamstrings|lower_back,Hip-hinge hypertrophy/strength staple targeting the posterior chain through a long hamstring range of motion.,barbell,3,8-10,false,false,https://www.youtube.com/watch?v=jEy_czb3RKA,true
Dumbbell Romanian Deadlift,hinge,strength,aesthetic_physique|total_body_resilience,hamstrings|lower_back,Lower-load equipment variant of the barbell RDL; more accessible bar path for hip-hinge skill development.,dumbbell,3,10-12,false,false,https://www.youtube.com/watch?v=aa57T45iFSE,false
Conventional Deadlift,hinge,strength,strength_power,hamstrings|lower_back,Full-body hip-hinge strength staple; among the highest-loading compound exercises for total posterior-chain development.,barbell,3,3-5,false,false,https://www.youtube.com/watch?v=op9kVnSso6Q,true
Trap Bar Deadlift,hinge,strength,strength_power|total_body_resilience,hamstrings|lower_back,"More upright torso position than a conventional deadlift, reducing lower-back shear while keeping the hip-hinge loading benefit.",trap_bar,3,5-8,false,false,https://www.youtube.com/watch?v=5BpuTmfQjro,true
Single-Leg Romanian Deadlift,hinge,strength,total_body_resilience|strength_power,hamstrings|ankles,Unilateral hip-hinge that trains hamstring strength and balance together; closes left/right asymmetry per CLAUDE.md's unilateral-from-the-left principle.,dumbbell,3,8-10,true,false,https://www.youtube.com/watch?v=Zfr6wizR8rs,true
Cable Pull-Through,hinge,strength,aesthetic_physique|total_body_resilience,hamstrings|hips,Reinforces hip-hinge mechanics under constant cable tension; lower skill demand than a barbell hinge for the same posterior-chain target.,cable_machine,3,12-15,false,false,https://www.youtube.com/watch?v=DbSF7ipBh5Y,false
Glute Bridge,hinge,strength,total_body_resilience|aesthetic_physique,hips|lower_back,Foundational glute-activation hinge pattern; useful as both a warmup primer and a standalone hypertrophy movement.,bodyweight,3,12-15,false,false,https://www.youtube.com/watch?v=wPM8icPu6H8,false
Hip Thrust,hinge,strength,aesthetic_physique|strength_power,hips,Loaded glute-focused hinge variant with strong evidence for glute hypertrophy specifically versus squats/deadlifts alone.,barbell|bench,3,8-12,false,false,https://www.youtube.com/watch?v=S_uZP4UH6J0,false
Good Morning,hinge,strength,strength_power|total_body_resilience,hamstrings|lower_back,Hip-hinge accessory that isolates posterior-chain strength under bar load without the grip/setup demand of a deadlift.,barbell,3,8-10,false,false,https://www.youtube.com/watch?v=qxNuAQknYQI,true
Kettlebell Swing,hinge,plyometric,total_body_resilience|endurance,hamstrings|hips,Ballistic hip-hinge that builds explosive posterior-chain power and conditioning simultaneously.,kettlebell,3,15-20,false,false,https://www.youtube.com/watch?v=sSESeQAir2M,true
Standing Toe Touch with Reach-Through,hinge,mobility_stretch,mobility_flexibility|total_body_resilience,lower_back|hamstrings,Standing segmental spinal-flexion stretch reaching toward the floor; a bodyweight-only complement to the loaded Jefferson curl for days without a barbell.,bodyweight,2,8-10,false,true,,false
Bird Dog,core,strength,total_body_resilience,lower_back|hips,Anti-rotation core-stability movement with strong evidence for safe lower-back loading and motor control.,bodyweight,3,8-10/side,true,false,https://www.youtube.com/watch?v=wiFNA3sqjCA,false
Plank,core,strength,total_body_resilience,lower_back,Foundational anti-extension core hold; baseline core-endurance movement with minimal equipment demand.,bodyweight,3,30-60s hold,false,false,https://www.youtube.com/watch?v=pSHjTRCQxIw,false
Side Plank,core,strength,total_body_resilience,lower_back|hips,Anti-lateral-flexion core hold; trains the obliques and quadratus lumborum in a way a front plank does not.,bodyweight,3,30-45s hold/side,true,false,https://www.youtube.com/watch?v=K2VljzCC16g,false
Hanging Leg Raise,core,strength,aesthetic_physique|strength_power,lower_back,Loaded anti-extension/flexion core movement with strong hypertrophy carryover to visible lower-ab definition.,pull_up_bar,3,8-12,false,false,https://www.youtube.com/watch?v=Pr1ieGZ5atk,true
Cable Woodchop,core,strength,aesthetic_physique|total_body_resilience,lower_back|hips,Rotational core-strength movement; trains the anti-rotation/rotation pattern pickleball's swing mechanics demand.,cable_machine,3,10-12/side,true,false,https://www.youtube.com/watch?v=he4IhLc1d5k,false
Dead Bug,core,strength,total_body_resilience,lower_back,Low-load anti-extension core movement with excellent motor-control carryover; common physical-therapy staple for lower-back resilience.,bodyweight,3,8-10/side,true,true,https://www.youtube.com/watch?v=3eqodmkpkfA,false
Ab Wheel Rollout,core,strength,aesthetic_physique|strength_power,lower_back,Advanced anti-extension core movement under long lever arm; high core-strength carryover once plank/dead-bug progressions are mastered.,ab_wheel,3,6-10,false,false,https://www.youtube.com/watch?v=nCh8VfWY5_g,true
Hollow Body Hold,core,strength,aesthetic_physique|total_body_resilience,lower_back,Gymnastics-derived core-bracing hold; builds the full-body tension skill that transfers to bracing under a barbell.,bodyweight,3,20-30s hold,false,false,https://www.youtube.com/watch?v=LlDNef_Ztsc,false
Cat-Cow,mobility,mobility_stretch,mobility_flexibility,thoracic_spine|lower_back,Dynamic spinal-segment mobility flow; gentle warmup movement for the whole spine before loaded work.,bodyweight,2,8-10 reps,false,true,https://www.youtube.com/watch?v=kqnua4rHVVA,false
Wall-Supported Chin Tuck,mobility,mobility_stretch,mobility_flexibility|total_body_resilience,neck,Wall-supported variant of the chin tuck adding tactile feedback for correct cervical retraction depth; useful cueing progression for forward-head posture correction.,wall,3,10 reps,false,true,https://www.youtube.com/watch?v=TWzly9Xswt8,false
Thoracic Rotation on Foam Roller,mobility,mobility_stretch,mobility_flexibility|total_body_resilience,thoracic_spine,Foam-roller-supported thoracic rotation drill; complements the extension-only foam-roller variant with a rotational axis of thoracic mobility.,foam_roller,2,8-10 reps/side,true,true,https://www.youtube.com/watch?v=GaEuHC3E68I,false
Scalene Stretch,mobility,mobility_stretch,mobility_flexibility|total_body_resilience,neck,Targets the scalene muscle group from a different angle than the levator scapulae stretch; both commonly co-tight contributors to chronic neck stiffness.,bodyweight,1,30s hold/side,true,true,,false
Neck Rotation Stretch,mobility,mobility_stretch,mobility_flexibility,neck,Active rotational neck range-of-motion movement; complements the levator scapulae and chin-tuck work from a different plane of motion.,bodyweight,2,8-10 reps/side,true,true,,false
Upper Trap Stretch,mobility,mobility_stretch,mobility_flexibility,neck,"Lateral-flexion stretch targeting the upper trapezius, a common source of referred neck tension alongside the levator scapulae.",bodyweight,1,30-45s hold/side,true,true,https://www.youtube.com/watch?v=-r0eoFS7_5Q,false
Scapular Wall Slides,mobility,mobility_stretch,mobility_flexibility|total_body_resilience,shoulders|thoracic_spine,Reinforces scapular upward rotation and thoracic extension together; corrective groundwork before overhead pressing.,wall,2,10-12 reps,false,true,https://www.youtube.com/watch?v=UB_n4DxOTCo,false
Thread the Needle,mobility,mobility_stretch,mobility_flexibility,thoracic_spine,Rotational thoracic-spine mobility movement performed on all fours; complements the foam-roller extension with a rotational axis.,bodyweight,2,8-10 reps/side,true,false,https://www.youtube.com/watch?v=7C8-zj3nRro,false
Standing Forward Fold with Shoulder Flexion,mobility,mobility_stretch,mobility_flexibility|total_body_resilience,shoulders|hamstrings,Standing variant combining a hamstring stretch with overhead shoulder flexion; a no-mat alternative to the down dog progression with a similar combined-mobility target.,bodyweight,1,30-45s hold,false,true,,false
Cross-Arm Internal Rotation Stretch (right),mobility,mobility_stretch,mobility_flexibility|total_body_resilience,shoulders,Standing internal-rotation stretch targeting the same posterior shoulder-capsule tightness as the sleeper stretch from a standing position rather than side-lying.,bodyweight,1,30s hold,true,true,https://www.youtube.com/watch?v=HaHQTTcYv4E,false
Wall Slide with External Rotation,mobility,mobility_stretch,mobility_flexibility|total_body_resilience,shoulders,Combines the scapular wall slide with an external-rotation finish; corrective groundwork for shoulder-capsule health distinct from the v1 Shoulder CARs entry.,wall,2,8-10 reps,false,true,https://www.youtube.com/watch?v=hUO4MGIVAyc,false
Cross-Body Shoulder Stretch,mobility,mobility_stretch,mobility_flexibility,shoulders,Simple posterior-deltoid stretch; lower-skill complement to the sleeper stretch for general shoulder tightness.,bodyweight,1,30s hold/side,true,true,,false
Doorway Pec Stretch,mobility,mobility_stretch,mobility_flexibility,shoulders,Anterior-chain shoulder/chest stretch; counters the internally-rotated posture that exacerbates right-shoulder tightness.,doorway,1,30-45s hold/side,true,true,https://www.youtube.com/watch?v=M850sCj9LHQ,false
Band Pull-Apart,pull,strength,total_body_resilience|aesthetic_physique,shoulders,Light high-rep posterior-shoulder/upper-back activation movement; common prehab staple for shoulder-health and posture.,resistance_band,3,15-20,false,true,https://www.youtube.com/watch?v=3OYSIWaJJk4,false
Face Pull,pull,strength,total_body_resilience|aesthetic_physique,shoulders,Targets the rear delts and external rotators directly; widely used corrective accessory for shoulder-health and posture balance.,cable_machine,3,12-15,false,true,https://www.youtube.com/watch?v=rep-qVOkqgk,false
Barbell Bench Press,push,strength,strength_power|aesthetic_physique,shoulders,Foundational horizontal-press compound; among the most evidence-backed movements for chest/shoulder/triceps strength and size.,barbell|bench,4,5-8,false,false,https://www.youtube.com/watch?v=rT7DgCr-3pg,true
Dumbbell Bench Press,push,strength,aesthetic_physique|strength_power,shoulders,"Greater range of motion and unilateral stabilizer demand than the barbell variant, with lower injury risk from a fixed bar path.",dumbbell|bench,3,8-10,false,false,https://www.youtube.com/watch?v=VmB1G1K7v94,false
Incline Barbell Press,push,strength,aesthetic_physique|strength_power,shoulders,Upper-chest-emphasis press variant; fills out the shoulder girdle in a way flat pressing alone does not.,barbell|bench,3,6-10,false,false,https://www.youtube.com/watch?v=SrqOu55lrYU,true
Incline Dumbbell Press,push,strength,aesthetic_physique,shoulders,Equipment variant of the incline press with a longer range of motion and independent-arm stabilizer demand.,dumbbell|bench,3,8-12,false,false,https://www.youtube.com/watch?v=8iPEnn-ltC8,false
Incline Smith Machine Press,push,strength,aesthetic_physique,shoulders,Fixed-path incline press variant; lets a lifter push closer to failure safely without a spotter.,smith_machine|bench,3,8-12,false,false,https://www.youtube.com/watch?v=tLB1XtM21Fk,false
Overhead Press,push,strength,strength_power|aesthetic_physique,shoulders,Vertical-press compound building shoulder strength and stability through full overhead range -- directly relevant to filling out the shoulder girdle.,barbell,3,5-8,false,false,https://www.youtube.com/watch?v=2yjwXTZQDDI,true
Dumbbell Shoulder Press,push,strength,aesthetic_physique,shoulders,Dumbbell variant of the overhead press; independent-arm path helps correct left/right shoulder imbalance.,dumbbell,3,8-12,false,false,https://www.youtube.com/watch?v=qEwKCR5JCog,false
Push-Up,push,strength,total_body_resilience|aesthetic_physique,shoulders,"Bodyweight horizontal-press staple; scalable, equipment-free option for chest/shoulder/triceps strength.",bodyweight,3,10-20,false,false,https://www.youtube.com/watch?v=IODxDxX7oi4,false
Dip,push,strength,aesthetic_physique|strength_power,shoulders,Bodyweight vertical-press movement emphasizing triceps and lower chest under a deep stretch range.,parallel_bars,3,8-12,false,false,https://www.youtube.com/watch?v=2z8JmcrW-As,true
Cable Chest Fly,push,strength,aesthetic_physique,shoulders,Isolation movement for chest under constant cable tension; complements pressing with a stretch-focused hypertrophy stimulus.,cable_machine,3,12-15,false,false,https://www.youtube.com/watch?v=Iwe6AmxVf7o,false
Landmine Press,push,strength,total_body_resilience|aesthetic_physique,shoulders,Shoulder-friendly pressing angle that reduces impingement risk while still building pressing strength; good option on a tender-shoulder day.,barbell|landmine_attachment,3,8-12,true,false,https://www.youtube.com/watch?v=_ArzG9qz-yM,false
Plyo Push-Up,push,plyometric,strength_power|aesthetic_physique,shoulders,Explosive upper-body pressing power movement; builds rate of force development for sports requiring fast hand/arm action.,bodyweight,3,5-8,false,false,https://www.youtube.com/watch?v=MH4gcTKQiEc,true
