name,movement_pattern,exercise_type,target_goals,body_parts,evidence_rationale,equipment_needed,default_sets,default_rep_range,unilateral,is_corrective,demo_video_url,is_complex
Medicine Ball Chest Pass,push,plyometric,strength_power|endurance,shoulders,Explosive horizontal-press power movement transferable to pickleball's quick reactive shots.,medicine_ball,3,6-8,false,false,https://www.youtube.com/watch?v=FUdcjZ0weic,false
Barbell Row,pull,strength,strength_power|aesthetic_physique,shoulders|lower_back,"Foundational horizontal-pull compound; builds upper-back thickness directly addressing CLAUDE.md's ""fill out shoulders/upper back"" goal.",barbell,3,8-10,false,false,https://www.youtube.com/watch?v=9efgcAjQe7E,true
Dumbbell Row,pull,strength,aesthetic_physique|total_body_resilience,shoulders|lower_back,"Unilateral horizontal-pull variant; trains each side of the upper back independently, supporting left/right correction.",dumbbell|bench,3,8-12,true,false,https://www.youtube.com/watch?v=pYcpY20QaE8,false
Cable Row,pull,strength,aesthetic_physique,shoulders,Constant-tension horizontal-pull movement; easier on the lower back than a bent-over barbell row for high-volume back work.,cable_machine,3,10-12,false,false,https://www.youtube.com/watch?v=GZbfZ033f74,false
Pull-Up,pull,strength,strength_power|aesthetic_physique,shoulders,Vertical-pull bodyweight staple with strong evidence for lat/upper-back strength and width.,pull_up_bar,3,5-10,false,false,https://www.youtube.com/watch?v=eGo4IYlbE5g,true
Chin-Up,pull,strength,aesthetic_physique|strength_power,shoulders,Supinated-grip pull-up variant with greater biceps involvement; useful pulling-strength progression alongside the pull-up.,pull_up_bar,3,5-10,false,false,https://www.youtube.com/watch?v=brhRXlOhsAM,false
Lat Pulldown,pull,strength,aesthetic_physique,shoulders,Machine vertical-pull movement; accessible regression toward a full pull-up while still building lat width.,cable_machine,3,10-12,false,false,https://www.youtube.com/watch?v=CAwf7n6Luuc,false
Single-Arm Lat Pulldown,pull,strength,aesthetic_physique|total_body_resilience,shoulders,"Unilateral vertical-pull variant; trains each lat independently, directly supporting CLAUDE.md's left-first unilateral-correction principle.",cable_machine,3,10-12,true,false,https://www.youtube.com/watch?v=eM162KNncD8,false
Face-Down Reverse Fly,pull,strength,aesthetic_physique|total_body_resilience,shoulders,Rear-delt isolation movement on a bench; reinforces the posterior shoulder strength the face pull also targets.,dumbbell|bench,3,12-15,false,false,https://www.youtube.com/watch?v=EA7u4Q_8HQ0,false
Seated Cable Row,pull,strength,aesthetic_physique,shoulders|lower_back,Seated horizontal-pull variant with strict torso bracing; good high-volume upper-back accessory.,cable_machine,3,10-12,false,false,https://www.youtube.com/watch?v=GZbfZ033f74,false
Inverted Row,pull,strength,total_body_resilience|aesthetic_physique,shoulders,Bodyweight horizontal-pull regression using a bar or rings; useful entry point toward weighted rowing strength.,barbell|squat_rack,3,8-12,false,false,https://www.youtube.com/watch?v=Fl0UMfdEzsE,false
Barbell Curl,pull,strength,aesthetic_physique,elbows,Classic biceps isolation movement; supports visible arm definition alongside the program's compound-first emphasis.,barbell,3,8-12,false,false,https://www.youtube.com/watch?v=kwG2ipFRgfo,false
Dumbbell Curl,pull,strength,aesthetic_physique,elbows,Unilateral biceps isolation; independent-arm path supports correcting right-arm dominance.,dumbbell,3,10-12,true,false,https://www.youtube.com/watch?v=ykJmrZ5v0Oo,false
Hammer Curl,pull,strength,aesthetic_physique,elbows|wrists,Neutral-grip biceps/forearm variant; adds forearm and brachialis development alongside standard curls.,dumbbell,3,10-12,true,false,https://www.youtube.com/watch?v=zC3nLlEvin4,false
Tricep Pushdown,push,strength,aesthetic_physique,elbows,Isolation movement for triceps under constant cable tension; complements compound pressing for arm definition.,cable_machine,3,10-15,false,false,https://www.youtube.com/watch?v=2-LAMcpzODU,false
Overhead Tricep Extension,push,strength,aesthetic_physique,elbows,Stretch-focused triceps isolation movement; targets the long head more than pushdown variants.,dumbbell,3,10-12,false,false,https://www.youtube.com/watch?v=YbX7Wd8jQ-Q,false
Wrist Curl,push,strength,total_body_resilience,wrists,Direct forearm-flexor strengthening; protective for wrist-loaded lifts like front squats and overhead pressing.,dumbbell,3,12-15,false,true,https://www.youtube.com/watch?v=7ac_qmBjkFI,false
Reverse Wrist Curl,pull,strength,total_body_resilience,wrists,Forearm-extensor strengthening that balances the wrist curl's flexor work; protective against wrist overuse.,dumbbell,3,12-15,false,true,,false
Wrist Mobility Flow (flexion/extension/circles),mobility,mobility_stretch,mobility_flexibility|total_body_resilience,wrists,Combined active-mobility flow for the wrist joint; useful pre-lift prep before any bar-loaded pressing or front-rack work.,bodyweight,2,10 reps each direction,true,true,,false
Farmer's Carry,pull,strength,total_body_resilience|strength_power,wrists|lower_back,"Loaded carry building grip, forearm, and trunk stability simultaneously; high carryover to real-world load-bearing tasks.",dumbbell_or_kettlebell,3,30-40m,false,false,https://www.youtube.com/watch?v=Fkzk_RqlYig,false
Suitcase Carry,pull,strength,total_body_resilience,lower_back|wrists,Unilateral loaded carry that challenges anti-lateral-flexion core stability alongside grip strength.,dumbbell_or_kettlebell,3,30-40m/side,true,false,https://www.youtube.com/watch?v=y-hn_Ha1-RE,false
Lateral Lunge,squat,strength,total_body_resilience,hips|knees|ankles,"Frontal-plane lunge variant; directly trains the lateral movement pattern pickleball demands, beyond sagittal-plane squats/lunges.",dumbbell,3,8-10/side,true,false,https://www.youtube.com/watch?v=R8jArZG2J6Q,false
Lateral Band Walk,squat,strength,total_body_resilience,hips|knees,Glute-medius activation movement under lateral resistance; a common pickleball/lateral-sport injury-prevention staple.,resistance_band,3,10-15 steps/side,true,true,https://www.youtube.com/watch?v=PhNkkOieB-8,false
Monster Walk,squat,strength,total_body_resilience,hips|ankles,Multi-directional banded walking drill that builds hip-abductor and ankle-stabilizer endurance together.,resistance_band,3,10 steps each direction,true,true,,false
Lateral Hop,squat,plyometric,total_body_resilience|strength_power,ankles|knees,Single-plane plyometric hop building lateral-landing control directly relevant to pickleball's side-to-side footwork and ankle reinjury risk.,bodyweight,3,6-8/side,true,false,https://www.youtube.com/watch?v=jjPPhcLgG50,false
Skater Hop,squat,plyometric,total_body_resilience|strength_power,ankles|hips,Lateral bounding plyometric that mirrors pickleball's lateral cutting demand while training single-leg landing absorption.,bodyweight,3,6-8/side,true,false,https://www.youtube.com/watch?v=dzVTuvRojzA,false
Depth Jump,squat,plyometric,strength_power,knees|ankles,Reactive-strength plyometric using a drop into an immediate jump; builds fast eccentric-to-concentric force transfer.,plyo_box,3,4-5,false,false,https://www.youtube.com/watch?v=AzPJZHOmGEg,true
Broad Jump,squat,plyometric,strength_power|total_body_resilience,hips|knees,Horizontal explosive triple-extension movement; complements the vertical box jump with a different force vector.,bodyweight,3,3-5,false,false,https://www.youtube.com/watch?v=AO57oC3Cw14,false
Tuck Jump,squat,plyometric,strength_power,hips|knees,High-intensity plyometric demanding rapid hip flexion under flight time; advanced progression once landing mechanics are solid.,bodyweight,3,5-6,false,false,https://www.youtube.com/watch?v=GO8VX6V3Lko,false
Med Ball Slam,core,plyometric,strength_power|endurance,lower_back,Explosive total-body power movement through the core and shoulders; doubles as a high-intensity conditioning finisher.,medicine_ball,3,8-10,false,false,https://www.youtube.com/watch?v=EsAhU1jHpiQ,false
Med Ball Rotational Throw,core,plyometric,strength_power|total_body_resilience,lower_back|hips,Explosive rotational power movement mirroring the trunk-rotation demand of a pickleball groundstroke.,medicine_ball,3,6-8/side,true,false,https://www.youtube.com/watch?v=2IBj2r0wd0Y,false
Plyo Lunge (alternating jump lunge),squat,plyometric,strength_power|total_body_resilience,hips|knees,Explosive alternating-leg lunge; builds single-leg power and reactive landing control together.,bodyweight,3,6-8/side,true,false,https://www.youtube.com/watch?v=FyxFYIV8wKU,false
Pickleball-Specific Lateral Shuffle,squat,cardio,endurance|total_body_resilience,ankles|hips,Sport-specific lateral conditioning drill mirroring pickleball court movement; doubles as dynamic ankle/hip warmup before play.,cones_or_floor_markers,3,20-30s,false,false,,false
Jump Rope,squat,cardio,endurance|total_body_resilience,ankles,Low-equipment cardio/conditioning movement that also reinforces ankle stiffness and rhythm under repeated ground contact.,jump_rope,3,60-90s,false,false,https://www.youtube.com/watch?v=u3zgHI8QnqE,false
Treadmill Incline Walk,squat,cardio,endurance|longevity_recovery,ankles|hips,Low-impact steady-state cardio option; useful active-recovery alternative to a full run on a lower-readiness day.,treadmill,1,20-30 min,false,false,,false
Easy Aerobic Run,squat,cardio,endurance|longevity_recovery,ankles|knees,Base-building steady-state run; the foundation CLAUDE.md's 10%/week progression cap is built around.,none,1,20-30 min,false,false,,false
Interval Sprints,squat,cardio,endurance|strength_power,ankles|hamstrings,Higher-intensity running variant for VO2/speed development once aerobic base and hamstring resilience (Nordic curls) are established.,none,1,6-8x30s,false,false,,false
Stationary Bike,squat,cardio,endurance|longevity_recovery,knees,Low-impact cardio alternative that maintains aerobic conditioning while fully offloading the ankles -- useful during an ankle flare-up.,stationary_bike,1,20-30 min,false,true,,false
Rowing Machine,pull,cardio,endurance|strength_power,lower_back|shoulders,"Full-body, low-impact cardio modality that also reinforces hip-hinge and pulling-pattern endurance.",rowing_machine,1,15-20 min,false,false,https://www.youtube.com/watch?v=4zWu1yuJ0_g,false
Battle Ropes,pull,cardio,endurance|strength_power,shoulders,High-intensity upper-body conditioning movement; builds shoulder/grip endurance under a metabolic-conditioning stimulus.,battle_ropes,3,20-30s,false,false,https://www.youtube.com/watch?v=uyaANzMXQHY,false
Sled Push,squat,cardio,strength_power|endurance,hips|knees,Concentric-only loaded conditioning movement; builds leg drive and aerobic capacity with minimal eccentric/soreness cost.,sled,3,20-30m,false,false,https://www.youtube.com/watch?v=QaTrePoCT4g,false
Sled Drag (reverse),squat,cardio,total_body_resilience|endurance,knees|ankles,Reverse sled drag is a common knee/ankle-friendly conditioning and rehab movement with very low joint shear.,sled,3,20-30m,false,true,,false
Farmer's Carry Conditioning Circuit,pull,cardio,endurance|strength_power,wrists|lower_back,Combines loaded-carry strength with a conditioning stimulus when performed for extended distance/time.,dumbbell_or_kettlebell,3,60-90s,false,false,,false
Mountain Climbers,core,cardio,endurance|aesthetic_physique,lower_back,Dynamic core-and-conditioning movement combining a plank hold with continuous hip flexion under tempo.,bodyweight,3,30-40s,false,false,https://www.youtube.com/watch?v=nmwgirgXLYM,false
Burpee,push,cardio,endurance|strength_power,shoulders|ankles,"High-intensity total-body conditioning movement combining a push-up, squat, and jump in one sequence.",bodyweight,3,8-10,false,false,https://www.youtube.com/watch?v=auBLPXO8Fww,false
Kettlebell Swing Conditioning Set,hinge,cardio,endurance|strength_power,hamstrings|hips,Extended-set kettlebell swing work shifts the same hip-hinge pattern from strength/power toward a conditioning stimulus.,kettlebell,3,45-60s,false,false,https://www.youtube.com/watch?v=PAhDt_0PjP4,true
Standing Quad Stretch,mobility,mobility_stretch,mobility_flexibility,knees,Simple static quad/knee-extensor stretch; useful complement to the couch stretch for anterior thigh tightness.,bodyweight,1,30-45s hold/side,true,false,,false
Foam Roll Quads,mobility,mobility_stretch,mobility_flexibility|longevity_recovery,knees,Self-myofascial release for the quads; common pre/post-session recovery tool to reduce stiffness.,foam_roller,1,60-90s/side,true,false,,false
Foam Roll IT Band,mobility,mobility_stretch,mobility_flexibility|longevity_recovery,hips|knees,"Self-myofascial release targeting the IT band, a common source of lateral knee/hip tightness in runners and lateral-sport athletes.",foam_roller,1,60-90s/side,true,true,,false
Calf Foam Roll,mobility,mobility_stretch,mobility_flexibility|longevity_recovery,ankles,Self-myofascial release for the calves; complements the banded ankle distraction by addressing soft-tissue restriction.,foam_roller,1,60-90s/side,true,true,,false
Childs Pose,mobility,mobility_stretch,mobility_flexibility|longevity_recovery,lower_back|shoulders,Restorative yoga pose lengthening the lats and lower back; common cool-down/recovery-day movement.,yoga_mat,1,60-90s hold,false,false,https://www.youtube.com/watch?v=2MJGg-dUKh0,false
Knee-to-Chest Stretch,mobility,mobility_stretch,mobility_flexibility,lower_back|hips,Simple supine lower-back/hip stretch; gentle option on a high-soreness or low-readiness day.,bodyweight,1,30-45s hold/side,true,false,,false
Single-Leg Glute Bridge,hinge,strength,total_body_resilience,hips|hamstrings,Unilateral hinge variant isolating one side's glute/hamstring strength; supports left-first correction work.,bodyweight,3,10-12/side,true,false,https://www.youtube.com/watch?v=_K_di6h2-Wg,false
Clamshell,squat,strength,total_body_resilience,hips,Classic glute-medius activation/rehab movement; common corrective exercise for hip-stability deficits feeding into knee/ankle issues.,resistance_band,3,12-15/side,true,true,https://www.youtube.com/watch?v=ymjOGuPjOSE,false
Fire Hydrant,squat,strength,total_body_resilience,hips,Hip-abductor activation movement on all fours; complements the clamshell and lateral band walk for glute-medius strength.,bodyweight,3,10-12/side,true,true,https://www.youtube.com/watch?v=9JB38HZEbrQ,false
Standing Hip Flexor Stretch,mobility,mobility_stretch,mobility_flexibility,hips,Standing variant of the couch stretch's anterior-hip target; useful when no bench/wall is available (e.g. between pickleball games).,bodyweight,1,30-45s hold/side,true,true,,false
90/90 Hip Switch,mobility,mobility_stretch,mobility_flexibility|total_body_resilience,hips,"Dynamic transition variant of the static 90/90 stretch; builds active internal/external hip rotation control, not just passive range.",bodyweight,2,6-8 transitions/side,true,false,https://www.youtube.com/watch?v=HUZimFZJZWU,false
Reverse Nordic Curl,squat,strength,total_body_resilience,knees,Eccentric quad-strengthening movement using a kneeling lowering pattern; common knee-health corrective alongside the (hamstring) Nordic curl.,bodyweight,3,5-8,false,true,https://www.youtube.com/watch?v=PvJDjcfZe1c,true
Terminal Knee Extension,squat,strength,total_body_resilience,knees,Banded knee-extension corrective targeting the VMO; widely used in knee-rehab programming for joint stability.,resistance_band,3,12-15/side,true,true,https://www.youtube.com/watch?v=WEcLkuvcMZc,false
Seated Figure-4 Stretch,mobility,mobility_stretch,mobility_flexibility,hips,Seated piriformis/glute stretch; lower-skill alternative to the pigeon pose for hip external-rotator tightness.,bench,1,30-45s hold/side,true,true,,false
Banded Shoulder External Rotation,mobility,mobility_stretch,mobility_flexibility|total_body_resilience,shoulders,Rotator-cuff strengthening/corrective movement; protective against the impingement risk a tight right shoulder carries into pressing work.,resistance_band,3,12-15/side,true,true,https://www.youtube.com/watch?v=ybNV36DoRfY,false
Y-T-W Raises,pull,strength,total_body_resilience|aesthetic_physique,shoulders,Light-load scapular-stabilizer activation sequence; common shoulder-health prehab movement done before or after pressing.,dumbbell,3,8-10 each position,false,true,https://www.youtube.com/watch?v=KNbWAi-V434,false
Towel Behind-Back Shoulder Stretch,mobility,mobility_stretch,mobility_flexibility,shoulders,Internal/external rotation stretch using a towel; targets the same posterior-capsule tightness as the sleeper stretch from a different angle.,towel,1,30s hold/side,true,true,,false
Standing Calf Raise,push,strength,aesthetic_physique|total_body_resilience,ankles,"Direct calf-strengthening movement; complements the single-leg calf raise with a bilateral, higher-load variant.",bodyweight_or_dumbbell,3,12-15,false,false,https://www.youtube.com/watch?v=YMmgqO8Jo-k,false
Seated Calf Raise,push,strength,aesthetic_physique,ankles,"Machine/seated calf variant emphasizing the soleus through a bent-knee position, complementing the standing gastrocnemius-biased raise.",calf_raise_machine,3,12-15,false,false,https://www.youtube.com/watch?v=ORY-ke6vcgk,false
Eccentric Heel Drop,push,strength,total_body_resilience,ankles,Slow-eccentric calf-loading movement commonly used in Achilles-tendon rehab protocols; protective for ankle-adjacent tendon health.,step,3,10-12,true,true,https://www.youtube.com/watch?v=hoheL7eei40,false
Toe Yoga,mobility,mobility_stretch,mobility_flexibility,feet,Intrinsic-foot-muscle control drill; builds the small stabilizer strength that underlies ankle stability higher up the chain.,bodyweight,2,10 reps,true,true,,false
Foot Doming (short foot exercise),mobility,balance,total_body_resilience,feet,Arch-activation drill building intrinsic foot strength; common foundation movement in ankle-rehab and balance programming.,bodyweight,3,10s hold x 8,true,true,,false
Calf Raise on Step (eyes closed),balance,balance,total_body_resilience,ankles|feet,Combines calf strengthening with a balance challenge by removing visual feedback; progression beyond the basic single-leg balance drill.,step,3,8-10,true,true,,false
Single-Leg Deadlift Reach to Cone,balance,balance,total_body_resilience,ankles|hamstrings,Functional balance drill combining hip-hinge mechanics with a reaching balance challenge; strong carryover to pickleball's lunging reach.,cone_or_marker,3,6-8/side,true,false,,false
Bosu Ball Single-Leg Stand,balance,balance,total_body_resilience,ankles,Unstable-surface single-leg balance progression beyond a flat floor; builds ankle-stabilizer strength under perturbation.,bosu_ball,3,30-45s/side,true,true,,false
Tandem Stance Hold,balance,balance,total_body_resilience,ankles|feet,Heel-to-toe static balance hold; simple progression step between double-leg and single-leg balance work.,bodyweight,3,30s hold,true,false,,false
Y-Balance Reach,balance,balance,total_body_resilience,ankles|hips,Multi-directional single-leg reaching balance drill widely used as both an assessment and a training tool for lower-limb stability.,floor_markers,3,3 reaches/side,true,false,https://www.youtube.com/watch?v=qFVuS-P2FrI,false
Agility Ladder Drill,squat,cardio,endurance|total_body_resilience,ankles,Fast-footwork conditioning drill that builds the rapid ankle-stabilization demand pickleball's quick direction changes require.,agility_ladder,3,20-30s,false,false,https://www.youtube.com/watch?v=z1OhMhCZa8I,false
Cone Shuttle Run,squat,cardio,endurance|strength_power,ankles|knees,Multi-directional sprint-and-cut conditioning drill mirroring real pickleball movement demand more closely than linear running alone.,cones,3,20-30s,false,false,,false
Resistance Band Shoulder Pass-Through,mobility,mobility_stretch,mobility_flexibility|total_body_resilience,shoulders,Dynamic overhead-mobility drill using a band; good pre-press warmup that doubles as a shoulder-health mobility movement.,resistance_band,2,10-12 reps,false,false,https://www.youtube.com/watch?v=riVxa9By-pM,false
Arm Circles,mobility,mobility_stretch,mobility_flexibility,shoulders,Simple dynamic shoulder warmup movement; low-skill entry point before loaded overhead or pressing work.,bodyweight,2,10 reps each direction,false,false,,false
Hip Circles,mobility,mobility_stretch,mobility_flexibility,hips,Dynamic hip-joint warmup movement; loosens the hip capsule through a full circular range before squatting or lunging.,bodyweight,2,8-10 reps/side,true,false,,false
Leg Swings,mobility,mobility_stretch,mobility_flexibility,hips|hamstrings,Dynamic swinging warmup for the hip and hamstring; common pre-run or pre-lift mobility primer.,bodyweight,2,10-12 reps/side,true,false,,false
Neck Isometric Holds (4-way),mobility,strength,total_body_resilience|mobility_flexibility,neck,"Light isometric resistance in flexion/extension/lateral directions builds deep cervical stabilizer endurance, addressing chronic neck stiffness at its strength root rather than only its mobility side.",bodyweight,2,10s hold x 6 each direction,false,true,https://www.youtube.com/watch?v=0kWF968uFXY,false
Prone Neck Retraction with Extension,mobility,mobility_stretch,mobility_flexibility|total_body_resilience,neck|thoracic_spine,Combines the chin-tuck retraction with thoracic extension lying face-down; reinforces the CLAUDE.md thoracic-spine-is-the-root-cause framing in one movement.,bodyweight,2,8-10 reps,false,true,,false
Suboccipital Release (massage ball),mobility,mobility_stretch,mobility_flexibility|longevity_recovery,neck,"Self-myofascial release at the skull base targeting the suboccipital muscles, a common contributor to chronic neck tension and tension headaches.",massage_ball,1,60-90s,false,true,,false
Cervical Lateral Flexion Stretch,mobility,mobility_stretch,mobility_flexibility,neck,Static side-bend neck stretch isolating the upper trap/scalene group from a different angle than the upper trap stretch's shoulder-anchored variant.,bodyweight,1,30s hold/side,true,true,,false
Plank with Shoulder Taps,core,balance,total_body_resilience,lower_back|shoulders,Anti-rotation plank variant that adds an unstable-arm-lift balance challenge on top of the static core hold.,bodyweight,3,8-10/side,true,false,https://www.youtube.com/watch?v=gKA5LBy7WAI,false
Cobra Stretch,core,mobility_stretch,mobility_flexibility,lower_back,Gentle prone spinal-extension stretch; common cool-down movement countering the spinal flexion of core/ab work.,bodyweight,1,30-45s hold,false,false,https://www.youtube.com/watch?v=JDcdhTuycOI,false
Seated Wide-Leg Forward Fold,pull,mobility_stretch,mobility_flexibility,hamstrings|hips,"Seated bilateral hamstring/adductor stretch performed in a position similar to a row's seated base, complementing pulling-pattern training days.",yoga_mat,1,45-60s hold,false,false,,false
Renegade Row,pull,plyometric,strength_power|total_body_resilience,shoulders|lower_back,Unilateral rowing movement performed from a plank position under reactive core-stability demand; combines pulling strength with anti-rotation bracing power.,dumbbell,3,6-8/side,true,false,https://www.youtube.com/watch?v=F68p7cJFtOI,false
Single-Arm Band Row to Balance Reach,pull,balance,total_body_resilience,shoulders|ankles,"Combines a unilateral rowing pull with a single-leg balance hold, training upper-back pulling strength and ankle stability together.",resistance_band,3,8-10/side,true,false,,false
Push-Up to Single-Arm Reach,push,balance,total_body_resilience,shoulders|wrists,"Adds a single-arm balance/reach component at the top of a push-up, training pressing strength alongside shoulder and wrist stability.",bodyweight,3,5-6/side,true,false,,false
Wrestler's Bridge Hold,mobility,balance,total_body_resilience,neck|thoracic_spine,"Supported neck/upper-back bridge hold building neck-extensor endurance and balance together; performed lightly and supported, not a high-load wrestling bridge.",yoga_mat,2,15-20s hold,false,true,,false
